t	X1	Y1
s	m	m
 15,06351376	-0,00033898	-0,00966102
 15,06859112	-0,00033898	-0,00966102
 15,07366753	-0,00033898	-0,00966102
 15,07874489	-0,00033898	-0,00966102
 15,08382225	-0,00033898	-0,00966102
 15,08889866	-0,00033898	-0,00966102
 15,09397602	-0,00033898	-0,01000000
 15,09905338	-0,00033898	-0,01000000
 15,10412979	-0,00033898	-0,01000000
 15,10920715	-0,00033898	-0,01000000
 15,11428452	-0,00033898	-0,01000000
 15,11936092	-0,00033898	-0,01033898
 15,12443829	-0,00033898	-0,01033898
 15,12951469	-0,00033898	-0,01033898
 15,13459206	-0,00033898	-0,01033898
 15,13966942	-0,00033898	-0,01033898
 15,14474583	-0,00033898	-0,01033898
 15,14982319	 0,00000000	-0,01033898
 15,15490055	 0,00000000	-0,01033898
 15,15997696	 0,00000000	-0,01033898
 15,16505432	 0,00000000	-0,01033898
 15,17013168	 0,00000000	-0,01033898
 15,17520809	 0,00000000	-0,01033898
 15,18028545	 0,00000000	-0,01033898
 15,18536282	 0,00000000	-0,01033898
 15,19043922	 0,00000000	-0,01033898
 15,19551659	 0,00000000	-0,01033898
 15,20059299	 0,00000000	-0,01033898
 15,20567036	 0,00000000	-0,01033898
 15,21074772	 0,00000000	-0,01033898
 15,21582413	 0,00000000	-0,01033898
 15,22090149	 0,00000000	-0,01033898
 15,22597885	 0,00000000	-0,01000000
 15,23105526	 0,00000000	-0,01000000
 15,23613262	 0,00033898	-0,01033898
 15,24120998	 0,00033898	-0,01033898
 15,24628639	 0,00033898	-0,01000000
 15,25136375	 0,00033898	-0,01000000
 15,25644016	 0,00033898	-0,01000000
 15,26151752	 0,00033898	-0,01000000
 15,26659489	 0,00033898	-0,01000000
 15,27167130	 0,00033898	-0,01000000
 15,27674866	 0,00033898	-0,01000000
 15,28182602	 0,00033898	-0,01033898
 15,28690243	 0,00033898	-0,01033898
 15,29197979	 0,00033898	-0,01033898
 15,29705715	 0,00033898	-0,01033898
 15,30213356	 0,00000000	-0,01033898
 15,30721092	 0,00000000	-0,01033898
 15,31228733	 0,00000000	-0,01033898
 15,31736469	 0,00000000	-0,01033898
 15,32244205	 0,00000000	-0,01033898
 15,32751846	 0,00000000	-0,01033898
 15,33259583	 0,00000000	-0,01033898
 15,33767319	 0,00000000	-0,01033898
 15,34274960	 0,00000000	-0,01033898
 15,34782696	 0,00000000	-0,01033898
 15,35290432	 0,00000000	-0,01033898
 15,35798073	-0,00033898	-0,01033898
 15,36305809	-0,00033898	-0,01033898
 15,36813545	-0,00033898	-0,01033898
 15,37321186	-0,00033898	-0,01033898
 15,37828922	-0,00033898	-0,01033898
 15,38336563	-0,00033898	-0,01033898
 15,38844299	-0,00067797	-0,01033898
 15,39352036	-0,00067797	-0,01033898
 15,39859676	-0,00067797	-0,01033898
 15,40367413	-0,00033898	-0,01033898
 15,40875149	-0,00033898	-0,01033898
 15,41382790	-0,00033898	-0,01033898
 15,41890526	-0,00033898	-0,01033898
 15,42398262	-0,00033898	-0,01033898
 15,42905903	-0,00033898	-0,01033898
 15,43413639	-0,00033898	-0,01000000
 15,43921280	 0,00000000	-0,01000000
 15,44429016	 0,00000000	-0,01000000
 15,44936752	 0,00000000	-0,01000000
 15,45444393	 0,00000000	-0,01000000
 15,45952129	 0,00000000	-0,01000000
 15,46459866	 0,00000000	-0,01033898
 15,46967506	 0,00000000	-0,01033898
 15,47475243	 0,00000000	-0,01033898
 15,47982979	 0,00000000	-0,01033898
 15,48490620	 0,00000000	-0,01033898
 15,48998356	 0,00000000	-0,01033898
