Time	Channel A
(us)	(V)

-29.41799896	-0.10248520
-29.41599896	-0.10248520
-29.41399896	-0.10248520
-29.41199896	-0.10248520
-29.40999896	-0.10248520
-29.40799896	-0.10248520
-29.40599896	-0.10248520
-29.40399896	-0.10248520
-29.40199896	-0.10248520
-29.39999896	-0.10248520
-29.39799896	-0.10248520
-29.39599896	-0.10248520
-29.39399896	-0.10248520
-29.39199896	-0.10248520
-29.38999896	-0.10248520
-29.38799896	-0.10248520
-29.38599896	-0.10248520
-29.38399896	-0.10248520
-29.38199896	-0.10248520
-29.37999896	-0.10137790
-29.37799896	-0.10137790
-29.37599896	-0.10137790
-29.37399896	-0.10137790
-29.37199896	-0.10137790
-29.36999896	-0.10137790
-29.36799896	-0.10033220
-29.36599896	-0.09922490
-29.36399896	-0.09922490
-29.36199896	-0.09922490
-29.35999896	-0.09817913
-29.35799896	-0.09713337
-29.35599897	-0.09713337
-29.35399897	-0.09713337
-29.35199897	-0.09713337
-29.34999897	-0.09713337
-29.34799897	-0.09713337
-29.34599897	-0.09602609
-29.34399897	-0.09602609
-29.34199897	-0.09498031
-29.33999897	-0.09498031
-29.33799897	-0.09498031
-29.33599897	-0.09498031
-29.33399897	-0.09498031
-29.33199897	-0.09498031
-29.32999897	-0.09498031
-29.32799897	-0.09498031
-29.32599897	-0.09498031
-29.32399897	-0.09393454
-29.32199897	-0.09393454
-29.31999897	-0.09393454
-29.31799897	-0.09282726
-29.31599897	-0.09393454
-29.31399897	-0.09393454
-29.31199897	-0.09282726
-29.30999897	-0.09282726
-29.30799897	-0.09282726
-29.30599897	-0.09282726
-29.30399897	-0.09393454
-29.30199897	-0.09393454
-29.29999897	-0.09393454
-29.29799897	-0.09393454
-29.29599897	-0.09393454
-29.29399897	-0.09393454
-29.29199897	-0.09498031
-29.28999897	-0.09498031
-29.28799897	-0.09498031
-29.28599897	-0.09602609
-29.28399897	-0.09498031
-29.28199897	-0.09498031
-29.27999897	-0.09498031
-29.27799897	-0.09602609
-29.27599897	-0.09602609
-29.27399897	-0.09602609
-29.27199897	-0.09498031
-29.26999897	-0.09498031
-29.26799897	-0.09498031
-29.26599897	-0.09393454
-29.26399897	-0.09393454
-29.26199897	-0.09393454
-29.25999897	-0.09282726
-29.25799897	-0.09178150
-29.25599897	-0.09067421
-29.25399897	-0.08962844
-29.25199897	-0.08962844
-29.24999897	-0.08962844
-29.24799897	-0.08962844
-29.24599897	-0.08858268
-29.24399897	-0.08747540
-29.24199897	-0.08642963
-29.23999897	-0.08642963
-29.23799897	-0.08642963
-29.23599897	-0.08538385
-29.23399897	-0.08538385
-29.23199897	-0.08538385
-29.22999897	-0.08538385
-29.22799897	-0.08642963
-29.22599897	-0.08642963
-29.22399897	-0.08642963
-29.22199897	-0.08642963
-29.21999897	-0.08642963
-29.21799897	-0.08642963
-29.21599897	-0.08642963
-29.21399897	-0.08642963
-29.21199897	-0.08747540
-29.20999897	-0.08747540
-29.20799897	-0.08747540
-29.20599897	-0.08747540
-29.20399897	-0.08747540
-29.20199897	-0.08747540
-29.19999897	-0.08747540
-29.19799897	-0.08747540
-29.19599897	-0.08642963
-29.19399897	-0.08642963
-29.19199897	-0.08642963
-29.18999897	-0.08642963
-29.18799897	-0.08642963
-29.18599897	-0.08642963
-29.18399897	-0.08642963
-29.18199897	-0.08642963
-29.17999897	-0.08538385
-29.17799897	-0.08538385
-29.17599897	-0.08538385
-29.17399897	-0.08538385
-29.17199897	-0.08538385
-29.16999897	-0.08538385
-29.16799897	-0.08538385
-29.16599897	-0.08538385
-29.16399897	-0.08538385
-29.16199897	-0.08538385
-29.15999897	-0.08538385
-29.15799897	-0.08538385
-29.15599897	-0.08538385
-29.15399897	-0.08538385
-29.15199897	-0.08538385
-29.14999897	-0.08538385
-29.14799897	-0.08538385
-29.14599897	-0.08538385
-29.14399897	-0.08538385
-29.14199897	-0.08538385
-29.13999897	-0.08538385
-29.13799897	-0.08538385
-29.13599897	-0.08538385
-29.13399897	-0.08538385
-29.13199897	-0.08538385
-29.12999897	-0.08538385
-29.12799897	-0.08538385
-29.12599897	-0.08538385
-29.12399897	-0.08538385
-29.12199897	-0.08538385
-29.11999897	-0.08538385
-29.11799897	-0.08538385
-29.11599897	-0.08538385
-29.11399897	-0.08538385
-29.11199897	-0.08538385
-29.10999897	-0.08538385
-29.10799897	-0.08538385
-29.10599897	-0.08538385
-29.10399897	-0.08538385
-29.10199897	-0.08538385
-29.09999897	-0.08538385
-29.09799897	-0.08538385
-29.09599897	-0.08538385
-29.09399897	-0.08538385
-29.09199897	-0.08538385
-29.08999897	-0.08538385
-29.08799897	-0.08538385
-29.08599897	-0.08538385
-29.08399897	-0.08538385
-29.08199897	-0.08538385
-29.07999897	-0.08538385
-29.07799897	-0.08538385
-29.07599897	-0.08538385
-29.07399897	-0.08538385
-29.07199897	-0.08538385
-29.06999897	-0.08538385
-29.06799897	-0.08538385
-29.06599897	-0.08538385
-29.06399897	-0.08538385
-29.06199897	-0.08538385
-29.05999897	-0.08538385
-29.05799897	-0.08538385
-29.05599897	-0.08538385
-29.05399897	-0.08538385
-29.05199897	-0.08538385
-29.04999897	-0.08538385
-29.04799897	-0.08538385
-29.04599897	-0.08538385
-29.04399897	-0.08538385
-29.04199897	-0.08538385
-29.03999897	-0.08538385
-29.03799897	-0.08538385
-29.03599897	-0.08538385
-29.03399897	-0.08538385
-29.03199897	-0.08538385
-29.02999897	-0.08538385
-29.02799897	-0.08538385
-29.02599897	-0.08538385
-29.02399897	-0.08538385
-29.02199897	-0.08538385
-29.01999897	-0.08538385
-29.01799897	-0.08538385
-29.01599897	-0.08538385
-29.01399897	-0.08538385
-29.01199897	-0.08538385
-29.00999897	-0.08538385
-29.00799897	-0.08538385
-29.00599897	-0.08538385
-29.00399897	-0.08538385
-29.00199898	-0.08538385
-28.99999898	-0.08538385
-28.99799898	-0.08538385
-28.99599898	-0.08538385
-28.99399898	-0.08538385
-28.99199898	-0.08538385
-28.98999898	-0.08538385
-28.98799898	-0.08538385
-28.98599898	-0.08538385
-28.98399898	-0.08538385
-28.98199898	-0.08538385
-28.97999898	-0.08538385
-28.97799898	-0.08538385
-28.97599898	-0.08538385
-28.97399898	-0.08538385
-28.97199898	-0.08538385
-28.96999898	-0.08538385
-28.96799898	-0.08538385
-28.96599898	-0.08538385
-28.96399898	-0.08538385
-28.96199898	-0.08538385
-28.95999898	-0.08538385
-28.95799898	-0.08538385
-28.95599898	-0.08538385
-28.95399898	-0.08538385
-28.95199898	-0.08538385
-28.94999898	-0.08538385
-28.94799898	-0.08538385
-28.94599898	-0.08538385
-28.94399898	-0.08538385
-28.94199898	-0.08538385
-28.93999898	-0.08538385
-28.93799898	-0.08538385
-28.93599898	-0.08538385
-28.93399898	-0.08538385
-28.93199898	-0.08538385
-28.92999898	-0.08538385
-28.92799898	-0.08538385
-28.92599898	-0.08538385
-28.92399898	-0.08538385
-28.92199898	-0.08538385
-28.91999898	-0.08538385
-28.91799898	-0.08538385
-28.91599898	-0.08538385
-28.91399898	-0.08538385
-28.91199898	-0.08538385
-28.90999898	-0.08538385
-28.90799898	-0.08538385
-28.90599898	-0.08538385
-28.90399898	-0.08538385
-28.90199898	-0.08538385
-28.89999898	-0.08538385
-28.89799898	-0.08538385
-28.89599898	-0.08538385
-28.89399898	-0.08538385
-28.89199898	-0.08538385
-28.88999898	-0.08538385
-28.88799898	-0.08538385
-28.88599898	-0.08538385
-28.88399898	-0.08538385
-28.88199898	-0.08538385
-28.87999898	-0.08538385
-28.87799898	-0.08538385
-28.87599898	-0.08538385
-28.87399898	-0.08538385
-28.87199898	-0.08538385
-28.86999898	-0.08538385
-28.86799898	-0.08538385
-28.86599898	-0.08538385
-28.86399898	-0.08538385
-28.86199898	-0.08538385
-28.85999898	-0.08538385
-28.85799898	-0.08538385
-28.85599898	-0.08538385
-28.85399898	-0.08427657
-28.85199898	-0.08427657
-28.84999898	-0.08427657
-28.84799898	-0.08427657
-28.84599898	-0.08427657
-28.84399898	-0.08427657
-28.84199898	-0.08427657
-28.83999898	-0.08427657
-28.83799898	-0.08427657
-28.83599898	-0.08427657
-28.83399898	-0.08427657
-28.83199898	-0.08427657
-28.82999898	-0.08427657
-28.82799898	-0.08427657
-28.82599898	-0.08427657
-28.82399898	-0.08427657
-28.82199898	-0.08538385
-28.81999898	-0.08538385
-28.81799898	-0.08538385
-28.81599898	-0.08538385
-28.81399898	-0.08538385
-28.81199898	-0.08538385
-28.80999898	-0.08538385
-28.80799898	-0.08538385
-28.80599898	-0.08538385
-28.80399898	-0.08538385
-28.80199898	-0.08538385
-28.79999898	-0.08538385
-28.79799898	-0.08538385
-28.79599898	-0.08538385
-28.79399898	-0.08538385
-28.79199898	-0.08538385
-28.78999898	-0.08427657
-28.78799898	-0.08427657
-28.78599898	-0.08427657
-28.78399898	-0.08427657
-28.78199898	-0.08427657
-28.77999898	-0.08427657
-28.77799898	-0.08427657
-28.77599898	-0.08427657
-28.77399898	-0.08427657
-28.77199898	-0.08427657
-28.76999898	-0.08427657
-28.76799898	-0.08427657
-28.76599898	-0.08427657
-28.76399898	-0.08427657
-28.76199898	-0.08323081
-28.75999898	-0.08218504
-28.75799898	-0.08323081
-28.75599898	-0.08323081
-28.75399898	-0.08323081
-28.75199898	-0.08218504
-28.74999898	-0.08218504
-28.74799898	-0.08218504
-28.74599898	-0.08218504
-28.74399898	-0.08218504
-28.74199898	-0.08218504
-28.73999898	-0.08218504
-28.73799898	-0.08218504
-28.73599898	-0.08218504
-28.73399898	-0.08218504
-28.73199898	-0.08218504
